hugo	rank	sampleSize	pvalue	padjust
HIST1H3E	1	23	2.10937050142541e-28	2.30026853180441e-24
PCDHGB7	2	18	7.06966883596744e-28	3.21018657039388e-24
CARTPT	3	22	8.83132481538894e-28	3.21018657039388e-24
TMPRSS12	4	22	3.64762021030805e-27	7.74966168460356e-24
ELF3	5	24	3.70415167239949e-27	7.74966168460356e-24
ZPBP2	6	20	4.26391289386716e-27	7.74966168460356e-24
CYP4F8	7	12	5.18489874432834e-27	8.07733154384294e-24
MT1E	8	24	7.98807996730831e-27	1.08887515054371e-23
CXCL6	9	24	3.08659227897641e-26	3.55038675632693e-23
CALML3	10	24	3.25574209658591e-26	3.55038675632693e-23
CYP2A6	11	24	7.43725079036404e-26	6.11245008828819e-23
C1orf177	12	24	7.580199690539e-26	6.11245008828819e-23
HIST1H2AJ	13	24	7.7704400297284e-26	6.11245008828819e-23
HIST1H2BM	14	24	7.84725366676154e-26	6.11245008828819e-23
ZNF714	15	24	1.56023452582263e-25	1.13429050027305e-22
ITPRIPL1	16	24	6.49060753198587e-25	4.42375469601912e-22
FAM19A2	17	24	6.5154892900126e-24	4.17949474750514e-21
KRT83	18	24	3.16357778140294e-23	1.91660087256661e-20
CYP4F2	19	24	5.73366367040926e-23	3.29082117504279e-20
DNAJC15	20	23	9.74880041582465e-23	5.31553342672839e-20
GPR149	21	24	1.81417825736462e-22	9.42076852217198e-20
TF	22	24	3.38607283241247e-22	1.67841473806627e-19
ABCC10	23	24	1.74806967410399e-20	8.2881303461322e-18
GREM2	24	23	8.08228698787589e-20	3.67238915011611e-17
MEOX2	25	21	2.27744921098199e-19	9.93423345830342e-17
KCNT2	26	24	3.27870293224334e-18	1.37516367215822e-15
KIAA1755	27	23	5.17034042986988e-18	2.08824305139745e-15
SYCP2L	28	24	1.08375437215302e-17	4.22083622440311e-15
FOXD4L1	29	22	2.15113830519739e-17	8.08902179937158e-15
VSTM2A	30	24	1.41380915167968e-16	5.13919626635564e-14
CCDC11	31	24	1.72777729822512e-15	6.07787465714351e-13
GABRA1	32	23	7.21933324637894e-13	2.46021340786757e-10
CXCL14	33	24	1.93760356727652e-11	6.40289906095467e-09
HOXA4	34	24	1.43037742118769e-10	4.58772522883875e-08
RASSF1	35	24	4.91248721083473e-09	1.53059065811865e-06
KRT7	36	24	5.62723814179653e-09	1.70458422045253e-06
PHYHIPL	37	24	2.26984651218044e-08	6.6899124906291e-06
WNT2	38	24	2.69466008275501e-08	7.68227448543864e-06
ADAMTS12	39	24	2.74744341982675e-08	7.68227448543864e-06
AQP3	40	24	3.30083337335049e-08	8.99889698409676e-06
HSD17B4	41	24	5.37882619657588e-08	1.43063657740634e-05
HAAO	42	24	6.2598198969373e-08	1.62531752324051e-05
CYP2E1	43	24	7.66841245594043e-08	1.94474506586117e-05
ASCL4	44	24	1.00080062585642e-07	2.48039336931007e-05
ZNF662	45	24	1.29489292705363e-07	3.13795719322664e-05
ISLR	46	24	1.59096206164501e-07	3.77161767005192e-05
ADCY4	47	24	1.66053317039875e-07	3.85279026025497e-05
DNAH8	48	24	1.93031634535458e-07	4.38543744710243e-05
TCTEX1D1	49	24	2.04538831237795e-07	4.55203256050645e-05
C9orf129	50	24	2.42520647526673e-07	5.28937532255674e-05
CLDN4	51	24	2.66182499304129e-07	5.69160814688535e-05
MYADM	52	24	3.06323463688781e-07	6.42395648370415e-05
PSKH2	53	24	4.15950767781349e-07	8.5583832502936e-05
CRYAB	54	23	4.28647781775733e-07	8.56800514390453e-05
HOXC8	55	24	4.32132308954378e-07	8.56800514390453e-05
LHCGR	56	16	4.50941361011213e-07	8.748218120315e-05
DNHD1	57	24	4.57265871488267e-07	8.748218120315e-05
CD200	58	24	5.92872721392796e-07	0.000111470293565318
G0S2	59	24	6.37164851959475e-07	0.000117767503569798
SEC31B	60	24	6.59251097952562e-07	0.000119818887052878
KRT5	61	24	6.96739514848988e-07	0.000123441209350121
SOX10	62	24	7.01820722577487e-07	0.000123441209350121
LXN	63	24	7.99094126613475e-07	0.000138319388106666
ADAM32	64	24	8.7469252169158e-07	0.000149039405453854
PROM2	65	24	1.11670709223216e-06	0.000187349089858334
TRIM59	66	24	1.18297101010161e-06	0.000195459073714516
MT1M	67	24	1.42599013893941e-06	0.00023209585768857
COX7A1	68	24	1.47317370467983e-06	0.000236249400728434
MYCBPAP	69	24	1.75178112309383e-06	0.000276857581845481
HOXA5	70	24	1.8891129600792e-06	0.000294296811852339
L1TD1	71	24	1.96327113352206e-06	0.000301541855085325
SPHKAP	72	24	2.00076190823073e-06	0.000303032064017447
ZIK1	73	24	2.06905343125179e-06	0.000309082570791791
HKR1	74	12	2.57128062785057e-06	0.000378916422252844
HSPB2	75	23	3.01805804182637e-06	0.000438825639281554
PCDHB13	76	24	3.66207787572067e-06	0.000518164480451249
ZSWIM2	77	24	3.67031590172463e-06	0.000518164480451249
ZNF177	78	23	3.70626588493328e-06	0.000518164480451249
SLC5A7	79	24	3.88700993698642e-06	0.000536554979276417
CLDN11	80	24	4.31717771428731e-06	0.000588485287178789
ABHD12B	81	24	4.77009335208333e-06	0.000642195901289738
POU2AF1	82	24	5.79437754467059e-06	0.000770581550300399
TMEM74	83	24	5.99938553423326e-06	0.000788232521094142
PSPN	84	24	6.25885772080322e-06	0.00081253385053999
PLIN4	85	24	6.71752867183693e-06	0.000861819413722138
IQSEC1	86	24	8.41810397235085e-06	0.00106743516068007
AKR1B1	87	24	1.02667652177282e-05	0.00128688591608421
BCAN	88	24	1.12819233632398e-05	0.00139806107131966
KCNS1	89	24	1.25719071512482e-05	0.00152623142816581
OR2L13	90	24	1.259613283218e-05	0.00152623142816581
RGS7	91	24	1.32116584513823e-05	0.0015832212682673
GIPC2	92	24	1.49472188321565e-05	0.00177173284092029
CPXM1	93	24	1.7827931781499e-05	0.00209046877502416
PRSS3	94	24	1.95429355585541e-05	0.00226718842836204
DPP6	95	24	2.37501926963729e-05	0.00272627211951522
KRTCAP3	96	24	2.44236499810693e-05	0.00277437399003709
